Region	Dating_Method	LAB_ID	Latitude	Longitude	age	error	Material	Curve	Reservoir_age	Reservoir_error	type	RSL	RSL_2sigma_upper	RSL_2sigma_lower	Reference	facies	indicative meaning	Core Name	water depth (m)	Depth in core (cm)	elevation
Bonaparte_Gulf	radiocarbon	YAUT-025122	-12.08	128.17	17260	50	Spisula sp.	marine	0	0	0	-107.69	7.5	7.5	IshiwaEtal2019	lagoon/estuary	> 15 m	KH11-1-GC08	114	119	-115.19
Bonaparte_Gulf	radiocarbon	YAUT-028837	-11.99	128.2	17320	60	unknown macrofossil	marine	0	0	0	-106.32	7.5	7.5	IshiwaEtal2019	lagoon/estuary	> 15 m	KH11-1-GC09	112	182	-113.82
Bonaparte_Gulf	radiocarbon	YAUT-001712	-12.18	128.03	17340	70	unknown macrofossil	marine	0	0	0	-116.11	7.5	7.5	IshiwaEtal2019	lagoon/estuary	> 15 m	KH11-1-GC06	120	361	-123.61
Bonaparte_Gulf	radiocarbon	YAUT-023933	-12.18	128.03	17410	70	Benthic foraminifera	marine	0	0	0	-115.49	7.5	7.5	IshiwaEtal2019	lagoon/estuary	> 15 m	KH11-1-GC06	120	299	-122.99
Bonaparte_Gulf	radiocarbon	YAUT-000821	-12.18	128.03	17410	100	Turritella terebra	marine	0	0	0	-115.71	7.5	7.5	IshiwaEtal2019	lagoon/estuary	> 15 m	KH11-1-GC06	120	321	-123.21
Bonaparte_Gulf	radiocarbon	YAUT-004123	-11.99	128.2	17490	100	Paphia undulata	marine	0	0	0	-106.36	7.5	7.5	IshiwaEtal2019	lagoon/estuary	> 15 m	KH11-1-GC09	112	186	-113.86
Bonaparte_Gulf	radiocarbon	YAUT-021707	-12.1	128.1	17520	60	Benthic foraminifera	marine	0	0	0	-111.87	7.5	7.5	IshiwaEtal2019	lagoon/estuary	> 15 m	KH11-1-GC07	115	437	-119.37
Bonaparte_Gulf	radiocarbon	YAUT-028829	-11.99	128.2	17540	60	Benthic foraminifera	marine	0	0	0	-106.68	7.5	7.5	IshiwaEtal2019	lagoon/estuary	> 15 m	KH11-1-GC09	112	218	-114.18
Bonaparte_Gulf	radiocarbon	YAUT-023311	-12.1	128.1	17550	60	Benthic foraminifera	marine	0	0	0	-110.68	7.5	7.5	IshiwaEtal2019	lagoon/estuary	> 15 m	KH11-1-GC07	115	318	-118.18
Bonaparte_Gulf	radiocarbon	YAUT-028834	-11.99	128.2	17580	60	Benthic foraminifera	marine	0	0	0	-106.32	7.5	7.5	IshiwaEtal2019	lagoon/estuary	> 15 m	KH11-1-GC09	112	182	-113.82
Bonaparte_Gulf	radiocarbon	YAUT-003108	-12.18	128.03	17690	80	Anadara sp, Paphia undulata	marine	0	0	0	-116.75	7.5	7.5	IshiwaEtal2019	lagoon/estuary	> 15 m	KH11-1-GC06	120	425	-124.25
Bonaparte_Gulf	radiocarbon	YAUT-004124	-11.99	128.2	17760	110	Spisula sp.	marine	0	0	0	-106.59	7.5	7.5	IshiwaEtal2019	lagoon/estuary	> 15 m	KH11-1-GC09	112	209	-114.09
Bonaparte_Gulf	radiocarbon	YAUT-010038	-12.08	128.17	17800	70	Spisula sp.	marine	0	0	0	-108.26	7.5	7.5	IshiwaEtal2019	lagoon/estuary	> 15 m	KH11-1-GC08	114	176	-115.76
Bonaparte_Gulf	radiocarbon	YAUT-003127	-12.08	128.17	17820	130	Spisula sp.	marine	0	0	0	-108.29	7.5	7.5	IshiwaEtal2019	lagoon/estuary	> 15 m	KH11-1-GC08	114	179	-115.79
Bonaparte_Gulf	radiocarbon	YAUT-025111	-12.08	128.17	17850	50	Benthic foraminifera	marine	0	0	0	-108.24	7.5	7.5	IshiwaEtal2019	lagoon/estuary	> 15 m	KH11-1-GC08	114	174	-115.74
Bonaparte_Gulf	radiocarbon	YAUT-025101	-11.93	128.15	17880	50	Benthic foraminifera	marine	0	0	0	-105.65	7.5	7.5	IshiwaEtal2019	lagoon/estuary	> 15 m	KH11-1-GC03	111	215	-113.15
Bonaparte_Gulf	radiocarbon	YAUT-025105	-11.93	128.15	17910	50	Benthic foraminifera	marine	0	0	0	-106.46	7.5	7.5	IshiwaEtal2019	lagoon/estuary	> 15 m	KH11-1-GC03	111	296	-113.96
Bonaparte_Gulf	radiocarbon	YAUT-025104	-11.93	128.15	17990	50	Benthic foraminifera	marine	0	0	0	-106.1	7.5	7.5	IshiwaEtal2019	lagoon/estuary	> 15 m	KH11-1-GC03	111	260	-113.6
Bonaparte_Gulf	radiocarbon	YAUT-025112	-12.08	128.17	18050	50	Benthic foraminifera	marine	0	0	0	-109.25	7.5	7.5	IshiwaEtal2019	lagoon/estuary	> 15 m	KH11-1-GC08	114	275	-116.75
Bonaparte_Gulf	radiocarbon	YAUT-025114	-12.08	128.17	18090	50	Benthic foraminifera	marine	0	0	0	-110.26	7.5	7.5	IshiwaEtal2019	lagoon/estuary	> 15 m	KH11-1-GC08	114	376	-117.76
Bonaparte_Gulf	radiocarbon	YAUT-025124	-12.09	128.28	19370	50	unknown macrofossil	marine	0	0	0	-100.24	7.5	7.5	IshiwaEtal2019	lagoon/estuary	> 15 m	KH11-1-GC10	106	174	-107.74
Bonaparte_Gulf	radiocarbon	YAUT-010013	-12.09	128.28	20010	80	Paphia undulata	marine	0	0	0	-101.6	7.5	7.5	IshiwaEtal2019	lagoon/estuary	> 15 m	KH11-1-GC10	106	310	-109.1
Bonaparte_Gulf	radiocarbon	YAUT-025125	-12.09	128.28	21170	60	Paphia undulata	marine	0	0	0	-102.35	7.5	7.5	IshiwaEtal2019	lagoon/estuary	> 15 m	KH11-1-GC10	106	385	-109.85
Bonaparte_Gulf	radiocarbon	YAUT-023936	-12.26	128.41	21810	80	Benthic foraminifera	marine	0	0	0	-101.69	7.5	7.5	IshiwaEtal2019	lagoon/estuary	> 15 m	KH11-1-GC11	108	119	-109.19
Bonaparte_Gulf	radiocarbon	YAUT-023937	-12.26	128.41	21890	80	Benthic foraminifera	marine	0	0	0	-102.42	7.5	7.5	IshiwaEtal2019	lagoon/estuary	> 15 m	KH11-1-GC11	108	192	-109.92
Bonaparte_Gulf	radiocarbon	YAUT-010039	-12.09	128.28	22010	90	unknown macrofossil	marine	0	0	0	-102.4	7.5	7.5	IshiwaEtal2019	lagoon/estuary	> 15 m	KH11-1-GC10	106	390	-109.9
Bonaparte_Gulf	radiocarbon	ANUA-6900	-12.2	128.04	11410	180	benthic foraminifera	marine	0	0	-1	-118.42	1	1	YokoyamaEtal2000	open marine	> -20 m	GC 5	118	42	-118.42
Bonaparte_Gulf	radiocarbon	ANUA-9303	-12.17	128	24060	240	bivalve	marine	0	0	-1	-123.4	1	1	YokoyamaEtal2000	open marine	>-20 m	GC 4	121	240	-123.4
Bonaparte_Gulf	radiocarbon	ANUA-8813	-12.2	128.04	14160	200	bivalve	marine	0	0	0	-111.63	7.5	7.5	YokoyamaEtal2000	marginal marine	> -5 m	GC 5	118	113	-119.13
Bonaparte_Gulf	radiocarbon	ANU-10750	-12.37	128.25	14720	160	Ctenocardia fornicarta	marine	0	0	0	-99.76	7.5	7.5	YokoyamaEtal2000	marginal marine	> -5 m	GC 7	107	26	-107.26
Bonaparte_Gulf	radiocarbon	ANU-10747	-12.37	128.25	14910	210	Ctenocardia fornicarta, Paphia undulata	marine	0	0	0	-99.85	7.5	7.5	YokoyamaEtal2000	marginal marine	> -5 m	GC 7	107	35	-107.35
Bonaparte_Gulf	radiocarbon	ANUA-9404	-12.28	128.17	15070	160	bivalve	marine	0	0	0	-102.85	7.5	7.5	YokoyamaEtal2000	marginal marine	> -5 m	GC6	110	35	-110.35
Bonaparte_Gulf	radiocarbon	ANU-10746	-12.37	128.25	15880	160	Ctenocardia fornicarta, Paphia undulata, Marca japonica	marine	0	0	0	-99.94	7.5	7.5	YokoyamaEtal2000	marginal marine	> -5 m	GC 7	107	44	-107.44
