Region	Dating_Method	LAB_ID	Latitude	Longitude	age	error	Material	Curve	Reservoir_age	Reservoir_error	type	RSL	RSL_2sigma_upper	RSL_2sigma_lower	Reference	original_depth	depth_range_low	depth_range_high
Tahiti	U/Th	310-M0009B-17R-1W-70_80	-17.5	-149.38333333333333	29534.7	50.3	Acropora_sp.(branching_)	-	0	0	0	-104.15159580392452	12.117983296075476	12.117983296075476	ThomasEtal2009,HibbertEtal2016	-116.2695791	19.847361659505	4.38860493264595
Tahiti	U/Th	310-M0009B-16R-2W-13_17	-17.5	-149.38333333333333	29602.3	50.4	Porites_sp._(massive)	-	0	0	0	-80.04812848069469	35.501177819305305	35.501177819305305	ThomasEtal2009,HibbertEtal2016	-115.5493063	64.1499986537465	6.85235698486412
Tahiti	U/Th	310-M0009B-16R-2W-13_17	-17.5	-149.38333333333333	29629	39.3	Porites_sp._(massive)	-	0	0	0	-80.05497877440641	35.48632092559359	35.48632092559359	ThomasEtal2009,HibbertEtal2016	-115.5412997	64.1322632196944	6.84037863149278
Tahiti	U/Th	310-M0009B-17R-1W-70_80	-17.5	-149.38333333333333	29679.1	35.7	Acropora_sp.(branching_)	-	0	0	0	-104.19572720956499	12.030557190435001	12.030557190435001	ThomasEtal2009,HibbertEtal2016	-116.2262844	19.654271764611	4.406842616259
Tahiti	U/Th	310-M0009B-17R-1W-5_10	-17.5	-149.38333333333333	29828.6	35.9	Porites_sp._(massive)	-	0	0	0	-80.0294600107833	35.50194548921671	35.50194548921671	ThomasEtal2009,HibbertEtal2016	-115.5314055	64.1325129394105	6.87137803902292
Tahiti	U/Th	310-M0009D-18R-1W-19_28	-17.5	-149.38333333333333	29839.2	51	Foliaceous_pachyseris_(ref_43)_-_is_this_Pacyseris_foliosa	-	0	0	0	-115.94781591438556	7.190415685614435	7.190415685614435	ThomasEtal2009,HibbertEtal2016	-123.1382316	8.2228945400299	6.15793683119897
Tahiti	U/Th	310-M0009B-17R-1W-5_10	-17.5	-149.38333333333333	29855.3	39.9	Porites_sp._(massive)	-	0	0	0	-80.05739947548543	35.46599902451457	35.46599902451457	ThomasEtal2009,HibbertEtal2016	-115.5233985	64.0786596610952	6.85333838793395
Tahiti	U/Th	310-M0009D-18R-1W-19_28	-17.5	-149.38333333333333	30158.2	43.1	Foliaceous_pachyseris_(ref_43)_-_is_this_Pacyseris_foliosa	-	0	0	0	-115.82344910850175	7.2190981914982455	7.2190981914982455	ThomasEtal2009,HibbertEtal2016	-123.0425473	8.25278814517231	6.18540823782418
Tahiti	U/Th	310-M0009D-18R-1W-19_28	-17.5	-149.38333333333333	30198.3	51.8	Foliaceous_pachyseris_(ref_43)_-_is_this_Pacyseris_foliosa	-	0	0	0	-115.81409960069982	7.21640069930018	7.21640069930018	ThomasEtal2009,HibbertEtal2016	-123.0305003	8.23125176327625	6.20154963532411
Tahiti	U/Th	310-M0009D-20R-2W-0_5	-17.5	-149.38333333333333	30797	37.4	Acropora_sp.(branching_)	-	0	0	0	-116.4244656043162	12.136428495683816	12.136428495683816	ThomasEtal2009,HibbertEtal2016	-128.5608941	19.7955986062478	4.47725838511983
Tahiti	U/Th	310-M0009D-20R-2W-0_5	-17.5	-149.38333333333333	31019.9	42.3	Acropora_sp.(branching_)	-	0	0	0	-116.35754545017082	12.13649144982918	12.13649144982918	ThomasEtal2009,HibbertEtal2016	-128.4940369	19.7590510212053	4.51393187845306
Tahiti	U/Th	310-M0009C-18R-1W-80_87	-17.5	-149.38333333333333	31671.8	38.7	Montipora_sp._(encrusting)	-	0	0	0	-64.82329287101385	47.125167428986146	47.125167428986146	ThomasEtal2009,HibbertEtal2016	-111.9484603	58.1949896564283	36.055345201544
Tahiti	U/Th	310-M0009C-18R-1W-80_87	-17.5	-149.38333333333333	31903.9	43.4	Montipora_sp._(encrusting)	-	0	0	0	-64.7157260487833	47.163097151216704	47.163097151216704	ThomasEtal2009,HibbertEtal2016	-111.8788232	58.2571038069572	36.0690904954762
Tahiti	U/Th	310-M0009E-12R-2W-86_107	-17.5	-149.38333333333333	32950.5	57.2	Porites_sp._(massive)	-	0	0	0	-68.04809815305163	35.62674254694838	35.62674254694838	ThomasEtal2009,HibbertEtal2016	-103.6748407	64.1660603678079	7.08742472608885
Tahiti	U/Th	310-M0009E-12R-2W-86_107	-17.5	-149.38333333333333	32995.4	40.4	Porites_sp._(massive)	-	0	0	0	-68.04122084531858	35.62016215468143	35.62016215468143	ThomasEtal2009,HibbertEtal2016	-103.661383	64.1653062376071	7.07501807175577
Tahiti	U/Th	310-M0020A-21R-2W-13_20	-17.533333333333335	-149.58333333333334	44014.3	98.1	Pocillopora_sp._(robust_branching)	-	0	0	0	-49.935309232113354	50.020407347886646	50.020407347886646	ThomasEtal2009,HibbertEtal2016	-99.95571658	61.3686480414136	38.6721666543597
Tahiti	U/Th	310-M0020A-25R-3W-11_13	-17.533333333333335	-149.58333333333334	64530.3	158.1	Porites_sp._(massive)	-	0	0	0	-67.92837660283895	36.99253869716105	36.99253869716105	ThomasEtal2009,HibbertEtal2016	-104.9209153	64.4340864139549	9.55099098036721
