Latitude	longitude	
17.4	-88.07	Khan_2017_Caribbean
16.83	-88.1	Khan_2017_Caribbean
16.83	-88.1	Khan_2017_Caribbean
17.4	-88.07	Khan_2017_Caribbean
16.83	-88.1	Khan_2017_Caribbean
16.83	-88.11	Khan_2017_Caribbean
17.33	-87.79	Khan_2017_Caribbean
17.48	-87.82	Khan_2017_Caribbean
16.9	-88.09	Khan_2017_Caribbean
16.84	-87.76	Khan_2017_Caribbean
16.83	-88.1	Khan_2017_Caribbean
17.55	-87.75	Khan_2017_Caribbean
16.9	-88.09	Khan_2017_Caribbean
17.4	-88.07	Khan_2017_Caribbean
16.9	-88.08	Khan_2017_Caribbean
17.94	-87.96	Khan_2017_Caribbean
17.86	-88.04	Khan_2017_Caribbean
16.83	-88.1	Khan_2017_Caribbean
16.1	-88.25	Khan_2017_Caribbean
16.83	-88.1	Khan_2017_Caribbean
16.83	-88.1	Khan_2017_Caribbean
16.83	-88.1	Khan_2017_Caribbean
17.48	-87.82	Khan_2017_Caribbean
17.47	-88.04	Khan_2017_Caribbean
16.84	-87.76	Khan_2017_Caribbean
16.83	-88.1	Khan_2017_Caribbean
17.86	-88.04	Khan_2017_Caribbean
16.9	-88.09	Khan_2017_Caribbean
17.86	-88.04	Khan_2017_Caribbean
16.82	-88.11	Khan_2017_Caribbean
17.95	-88.11	Khan_2017_Caribbean
16.83	-88.11	Khan_2017_Caribbean
16.83	-88.1	Khan_2017_Caribbean
16.91	-88.08	Khan_2017_Caribbean
16.78	-87.83	Khan_2017_Caribbean
16.75	-87.8	Khan_2017_Caribbean
17.99	-87.96	Khan_2017_Caribbean
16.83	-88.1	Khan_2017_Caribbean
16.8	-88.08	Khan_2017_Caribbean
16.9	-88.09	Khan_2017_Caribbean
16.9	-88.09	Khan_2017_Caribbean
16.83	-88.11	Khan_2017_Caribbean
16.82	-88.11	Khan_2017_Caribbean
16.8	-88.08	Khan_2017_Caribbean
16.78	-87.83	Khan_2017_Caribbean
16.83	-88.1	Khan_2017_Caribbean
17.48	-87.82	Khan_2017_Caribbean
17.48	-87.82	Khan_2017_Caribbean
16.9	-88.06	Khan_2017_Caribbean
17.06	-88	Khan_2017_Caribbean
17.2	-87.53	Khan_2017_Caribbean
16.83	-88.11	Khan_2017_Caribbean
16.83	-88.1	Khan_2017_Caribbean
16.83	-88.11	Khan_2017_Caribbean
16.96	-88.05	Khan_2017_Caribbean
16.96	-88.05	Khan_2017_Caribbean
16.83	-88.1	Khan_2017_Caribbean
17.4	-88.07	Khan_2017_Caribbean
16.83	-88.1	Khan_2017_Caribbean
17.48	-87.82	Khan_2017_Caribbean
17.86	-88.04	Khan_2017_Caribbean
17.2	-87.53	Khan_2017_Caribbean
16.83	-88.1	Khan_2017_Caribbean
17.86	-88.04	Khan_2017_Caribbean
17.2	-87.53	Khan_2017_Caribbean
17.39	-87.49	Khan_2017_Caribbean
16.84	-87.76	Khan_2017_Caribbean
17.91	-87.99	Khan_2017_Caribbean
16.8	-88.08	Khan_2017_Caribbean
16.83	-88.11	Khan_2017_Caribbean
17.48	-87.82	Khan_2017_Caribbean
16.8	-88.08	Khan_2017_Caribbean
16.9	-88.08	Khan_2017_Caribbean
17.33	-87.79	Khan_2017_Caribbean
16.75	-87.8	Khan_2017_Caribbean
16.83	-88.1	Khan_2017_Caribbean
17.95	-88.11	Khan_2017_Caribbean
16.96	-88.05	Khan_2017_Caribbean
16.45	-88.03	Khan_2017_Caribbean
16.83	-88.11	Khan_2017_Caribbean
17.95	-88.11	Khan_2017_Caribbean
16.96	-88.05	Khan_2017_Caribbean
16.83	-88.1	Khan_2017_Caribbean
16.83	-88.11	Khan_2017_Caribbean
16.9	-88.06	Khan_2017_Caribbean
16.78	-87.86	Khan_2017_Caribbean
17.47	-88.04	Khan_2017_Caribbean
17.23	-88.05	Khan_2017_Caribbean
17.06	-88	Khan_2017_Caribbean
17.48	-87.82	Khan_2017_Caribbean
16.84	-88.1	Khan_2017_Caribbean
17.17	-87.9	Khan_2017_Caribbean
16.9	-88.09	Khan_2017_Caribbean
17.86	-88.04	Khan_2017_Caribbean
16.9	-88.09	Khan_2017_Caribbean
