Region	Dating_Method	LAB_ID	Latitude	Longitude	age	error	Material	Curve	Reservoir_age	Reservoir_error	type	RSL	RSL_2sigma_upper	RSL_2sigma_lower	Reference	dummy
Northern_Massacusetts	radiocarbon	OS-67692	42.739	-70.8392	1650	30	Salt marsh rhizome	terrestrial	0	0	0	-1.1600000000000001	1.00311078151917	1.00311078151917	KirwanEtal2011	Kirwan et al (2011)
Northern_Massacusetts	radiocarbon	OS-67693	42.739	-70.8392	2190	25	Salt marsh rhizome	terrestrial	0	0	0	-1.88	1.0032672425630171	1.0032672425630171	KirwanEtal2011	Kirwan et al (2011)
Northern_Massacusetts	radiocarbon	OS-67694	42.729	-70.8393	125	30	Salt marsh rhizome	terrestrial	0	0	0	-0.6599999999999999	0.9454933950060148	0.9454933950060148	KirwanEtal2011	Kirwan et al (2011)
Northern_Massacusetts	radiocarbon	OS-67695	42.743	-70.8397	925	30	Salt marsh rhizome	terrestrial	0	0	0	-1.02	0.8409769616345028	0.8409769616345028	KirwanEtal2011	Kirwan et al (2011)
Northern_Massacusetts	radiocarbon	OS-67868	42.725	-70.8561	5030	35	Salt marsh peat	terrestrial	0	0	0	-5.97	0.8442369335678225	0.8442369335678225	KirwanEtal2011	Kirwan et al (2011)
Northern_Massacusetts	radiocarbon	OS-72131	42.729	-70.8229	275	30	Ds	terrestrial	0	0	0	-0.8799999999999999	0.8409673061421591	0.8409673061421591	KirwanEtal2011	Kirwan et al (2011)
Northern_Massacusetts	radiocarbon	OS-72132	42.719	-70.8199	385	25	Ds	terrestrial	0	0	0	-1.4899999999999998	0.7715123848649482	0.7715123848649482	KirwanEtal2011	Kirwan et al (2011)
Northern_Massacusetts	radiocarbon	OS-72133	42.725	-70.8561	815	30	Salt marsh rhizome	terrestrial	0	0	0	-1.1199999999999999	0.8409852852458239	0.8409852852458239	KirwanEtal2011	Kirwan et al (2011)
Northern_Massacusetts	radiocarbon	OS-72134	42.745	-70.8313	510	25	Ds	terrestrial	0	0	0	-1.3699999999999999	0.8410112960002379	0.8410112960002379	KirwanEtal2011	Kirwan et al (2011)
Northern_Massacusetts	radiocarbon	OS-72193	42.744	-70.8262	3450	35	Salt marsh rhizome	terrestrial	0	0	0	-2.4	1.0034123579067582	1.0034123579067582	KirwanEtal2011	Kirwan et al (2011)
Northern_Massacusetts	radiocarbon	OS-72194	42.745	-70.8313	3900	30	Salt marsh rhizome	terrestrial	0	0	0	-3.1300000000000003	1.0036615017026407	1.0036615017026407	KirwanEtal2011	Kirwan et al (2011)
Northern_Massacusetts	radiocarbon	OS-72195	42.739	-70.8392	360	30	Salt marsh rhizome	terrestrial	0	0	0	-1.0499999999999998	0.8409793338721231	0.8409793338721231	KirwanEtal2011	Kirwan et al (2011)
Northern_Massacusetts	radiocarbon	OS-72358	42.745	-70.8232	475	35	Ds	terrestrial	0	0	0	-1.2199999999999998	0.8409947978436013	0.8409947978436013	KirwanEtal2011	Kirwan et al (2011)
Northern_Massacusetts	radiocarbon	OS-72717	42.725	-70.8561	2830	70	Salt marsh rhizome	terrestrial	0	0	0	-2.9399999999999995	0.8413444538356452	0.8413444538356452	KirwanEtal2011	Kirwan et al (2011)
