0	0		1.67
1000	0.27		1.72
2000	-0.42		1.62
3000	-2		1.69
4000	-3.18		1.56
5000	-6.23		1.71
6000	-9.16		1.75
7000	-11.68		1.58
8000	-17.3		1.71
9000	-26.57		1.67
10000	-41.42		1.6
11000	-56.43		2.1
12000	-70.45		1.87
13000	-82.4		1.8
14000	-93.64		1.87
15000	-104.43		1.83
16000	-110.14		2.01
17000	-111.54		2.01
18000	-110.43		1.88
19000	-109.19		2.01
20000	-107.14		1.71
21000	-104.21		1.8
22000	-101.49		1.8
23000	-99.02		1.91
24000	-96.43		1.88
25000	-94.99		2.05
26000	-93.34		1.95
27000	-92.3		1.83
28000	-91.45		1.93
29000	-88.54		1.79
30000	-85.86		2.02
31000	-85.67		1.82
32000	-86.29		1.81
33000	-82.3		1.83
34000	-78.2		1.85
35000	-74.94		1.87
36000	-72.24		1.9
37000	-74.99		1.67
38000	-74.81		1.79
39000	-72.74		1.84
40000	-71.84		1.91
41000	-70.78		1.89
42000	-70.73		1.78
43000	-69.16		1.8
44000	-67.92		1.88
45000	-68.6		2
46000	-67.76		1.89
47000	-68.99		1.89
48000	-66.32		1.78
49000	-63.78		1.86
50000	-65.05		1.88
51000	-64.87		1.8
52000	-65.69		1.89
53000	-68.56		1.74
54000	-67.24		1.9
55000	-64.3		1.79
56000	-63.38		1.76
57000	-63.04		1.84
58000	-63.1		1.71
59000	-64.55		1.75
60000	-66.37		1.77
61000	-68.94		1.84
62000	-71.43		1.9
63000	-75.32		1.97
64000	-80.04		1.89
65000	-80.11		1.85
66000	-77.33		1.93
67000	-75.69		2.24
68000	-76.66		2.12
69000	-73.1		1.88
70000	-71.55		1.93
71000	-66.15		1.88
72000	-58.38		1.78
73000	-55.14		1.71
74000	-53.9		1.74
75000	-51.07		1.81
76000	-45.37		1.75
77000	-43.19		1.77
78000	-43.07		1.74
79000	-42.19		1.77
80000	-39.58		1.79
81000	-37.32		2
82000	-33.79		1.76
83000	-31.59		1.62
84000	-31.46		1.63
85000	-32.79		1.77
86000	-36.52		1.76
87000	-44.46		1.93
88000	-49.22		1.87
89000	-48.75		2
90000	-48.38		1.81
91000	-48.32		1.75
92000	-48.23		1.72
93000	-47.72		1.77
94000	-45.48		1.82
95000	-43.17		1.85
96000	-38.66		1.91
97000	-36.09		1.71
98000	-34.23		1.85
99000	-32.35		1.68
100000	-29.42		1.72
101000	-29.43		1.62
102000	-30.78		1.74
103000	-30.4		1.7
104000	-32.73		1.68
105000	-34.64		1.79
106000	-35.62		1.72
107000	-37.45		1.64
108000	-43.36		2.09
109000	-47.43		1.97
110000	-48.98		1.73
111000	-47.91		1.82
112000	-45.1		1.76
113000	-43.7		1.82
114000	-42.5		1.8
115000	-38.63		1.93
116000	-31.87		1.71
117000	-25.71		1.76
118000	-16.93		1.82
119000	-12.36		1.67
120000	-8.96		1.66
121000	-5.36		1.5
122000	-3.34		1.63
123000	-2.5		1.64
124000	1.13		1.68
125000	2.97		1.73
126000	0.46		1.48
127000	-0.97		1.73
128000	-3.38		1.89
129000	-8.47		1.56
