Region	Dating_Method	LAB_ID	Latitude	Longitude	age	error	Material	Curve	Reservoir_age	Reservoir_error	type	RSL	RSL_2sigma_upper	RSL_2sigma_lower	Reference	comment
Red_Sea_proxy_30ka	age_model	Grant2014-036	13.733	42.533	2362.49	500	18O_proxy	-	-	-	0	2.747	12	12	GrantEtal2014	location is the Hanish Sill
Red_Sea_proxy_30ka	age_model	Grant2014-037	13.733	42.533	2438.95	500	18O_proxy	-	-	-	0	6.627000000000001	12	12	GrantEtal2014	location is the Hanish Sill
Red_Sea_proxy_30ka	age_model	Grant2014-038	13.733	42.533	2453.29	500	18O_proxy	-	-	-	0	-3.493	12	12	GrantEtal2014	location is the Hanish Sill
Red_Sea_proxy_30ka	age_model	Grant2014-039	13.733	42.533	2464.43	500	18O_proxy	-	-	-	0	0.29699999999999993	12	12	GrantEtal2014	location is the Hanish Sill
Red_Sea_proxy_30ka	age_model	Grant2014-040	13.733	42.533	2544.89	500	18O_proxy	-	-	-	0	-1.9529999999999998	12	12	GrantEtal2014	location is the Hanish Sill
Red_Sea_proxy_30ka	age_model	Grant2014-041	13.733	42.533	2617.34	500	18O_proxy	-	-	-	0	-0.24299999999999988	12	12	GrantEtal2014	location is the Hanish Sill
Red_Sea_proxy_30ka	age_model	Grant2014-042	13.733	42.533	2636.5	500	18O_proxy	-	-	-	0	-2.323	12	12	GrantEtal2014	location is the Hanish Sill
Red_Sea_proxy_30ka	age_model	Grant2014-043	13.733	42.533	2719.27	500	18O_proxy	-	-	-	0	-5.793	12	12	GrantEtal2014	location is the Hanish Sill
Red_Sea_proxy_30ka	age_model	Grant2014-044	13.733	42.533	2728.11	500	18O_proxy	-	-	-	0	0.4269999999999998	12	12	GrantEtal2014	location is the Hanish Sill
Red_Sea_proxy_30ka	age_model	Grant2014-045	13.733	42.533	2819.72	500	18O_proxy	-	-	-	0	-1.333	12	12	GrantEtal2014	location is the Hanish Sill
Red_Sea_proxy_30ka	age_model	Grant2014-046	13.733	42.533	2872.19	500	18O_proxy	-	-	-	0	-6.6930000000000005	12	12	GrantEtal2014	location is the Hanish Sill
Red_Sea_proxy_30ka	age_model	Grant2014-047	13.733	42.533	2911.33	500	18O_proxy	-	-	-	0	-0.983	12	12	GrantEtal2014	location is the Hanish Sill
Red_Sea_proxy_30ka	age_model	Grant2014-048	13.733	42.533	2974.12	500	18O_proxy	-	-	-	0	-2.383	12	12	GrantEtal2014	location is the Hanish Sill
Red_Sea_proxy_30ka	age_model	Grant2014-049	13.733	42.533	3002.93	500	18O_proxy	-	-	-	0	-1.683	12	12	GrantEtal2014	location is the Hanish Sill
Red_Sea_proxy_30ka	age_model	Grant2014-050	13.733	42.533	3094.55	500	18O_proxy	-	-	-	0	-3.823	12	12	GrantEtal2014	location is the Hanish Sill
Red_Sea_proxy_30ka	age_model	Grant2014-051	13.733	42.533	3127.03	500	18O_proxy	-	-	-	0	-1.673	12	12	GrantEtal2014	location is the Hanish Sill
Red_Sea_proxy_30ka	age_model	Grant2014-052	13.733	42.533	3186.15	500	18O_proxy	-	-	-	0	-7.093	12	12	GrantEtal2014	location is the Hanish Sill
Red_Sea_proxy_30ka	age_model	Grant2014-053	13.733	42.533	3228.97	500	18O_proxy	-	-	-	0	-4.183	12	12	GrantEtal2014	location is the Hanish Sill
Red_Sea_proxy_30ka	age_model	Grant2014-054	13.733	42.533	3277.76	500	18O_proxy	-	-	-	0	7.786999999999999	12	12	GrantEtal2014	location is the Hanish Sill
Red_Sea_proxy_30ka	age_model	Grant2014-055	13.733	42.533	3369.37	500	18O_proxy	-	-	-	0	1.4669999999999999	12	12	GrantEtal2014	location is the Hanish Sill
Red_Sea_proxy_30ka	age_model	Grant2014-056	13.733	42.533	3381.87	500	18O_proxy	-	-	-	0	-6.583	12	12	GrantEtal2014	location is the Hanish Sill
Red_Sea_proxy_30ka	age_model	Grant2014-057	13.733	42.533	3458.32	500	18O_proxy	-	-	-	0	2.367	12	12	GrantEtal2014	location is the Hanish Sill
Red_Sea_proxy_30ka	age_model	Grant2014-058	13.733	42.533	3460.98	500	18O_proxy	-	-	-	0	1.4669999999999999	12	12	GrantEtal2014	location is the Hanish Sill
Red_Sea_proxy_30ka	age_model	Grant2014-059	13.733	42.533	3483.81	500	18O_proxy	-	-	-	0	-12.853	12	12	GrantEtal2014	location is the Hanish Sill
Red_Sea_proxy_30ka	age_model	Grant2014-060	13.733	42.533	3552.58	500	18O_proxy	-	-	-	0	12.697	12	12	GrantEtal2014	location is the Hanish Sill
Red_Sea_proxy_30ka	age_model	Grant2014-061	13.733	42.533	3636.71	500	18O_proxy	-	-	-	0	-7.553	12	12	GrantEtal2014	location is the Hanish Sill
Red_Sea_proxy_30ka	age_model	Grant2014-062	13.733	42.533	3694.14	500	18O_proxy	-	-	-	0	-0.643	12	12	GrantEtal2014	location is the Hanish Sill
Red_Sea_proxy_30ka	age_model	Grant2014-063	13.733	42.533	3738.65	500	18O_proxy	-	-	-	0	0.9869999999999999	12	12	GrantEtal2014	location is the Hanish Sill
Red_Sea_proxy_30ka	age_model	Grant2014-064	13.733	42.533	3835.68	500	18O_proxy	-	-	-	0	0.40700000000000025	12	12	GrantEtal2014	location is the Hanish Sill
Red_Sea_proxy_30ka	age_model	Grant2014-065	13.733	42.533	3891.55	500	18O_proxy	-	-	-	0	-9.093	12	12	GrantEtal2014	location is the Hanish Sill
Red_Sea_proxy_30ka	age_model	Grant2014-066	13.733	42.533	3977.23	500	18O_proxy	-	-	-	0	-1.0030000000000001	12	12	GrantEtal2014	location is the Hanish Sill
Red_Sea_proxy_30ka	age_model	Grant2014-067	13.733	42.533	3993.49	500	18O_proxy	-	-	-	0	-9.802999999999999	12	12	GrantEtal2014	location is the Hanish Sill
Red_Sea_proxy_30ka	age_model	Grant2014-068	13.733	42.533	4118.78	500	18O_proxy	-	-	-	0	-5.953	12	12	GrantEtal2014	location is the Hanish Sill
Red_Sea_proxy_30ka	age_model	Grant2014-069	13.733	42.533	4146.4	500	18O_proxy	-	-	-	0	-9.823	12	12	GrantEtal2014	location is the Hanish Sill
Red_Sea_proxy_30ka	age_model	Grant2014-070	13.733	42.533	4248.34	500	18O_proxy	-	-	-	0	-7.143	12	12	GrantEtal2014	location is the Hanish Sill
Red_Sea_proxy_30ka	age_model	Grant2014-071	13.733	42.533	4260.33	500	18O_proxy	-	-	-	0	-3.533	12	12	GrantEtal2014	location is the Hanish Sill
