Region	Dating_Method	LAB_ID	Latitude	Longitude	age	error	Material	Curve	Reservoir_age	Reservoir_error	type	RSL	RSL_2sigma_upper	RSL_2sigma_lower	Reference	note
Netherlands_Wadden_Sea	radiocarbon	GRN-7644	53.257	5.77	4760	30	peat, unclassified	terrestrial	-	-	0	-4.29	0.23	0.23	MeijlesEtal2018,Griede1978	lowest local time-depth position
Netherlands_Wadden_Sea	radiocarbon	GRN-24506	53.308	5.889	4610	120	amorphous peat with sand	terrestrial	-	-	0	-3.66	0.22	0.22	MeijlesEtal2018	lowest local time-depth position
Netherlands_Wadden_Sea	radiocarbon	GRN-1088	53.178	7.093	4310	75	fen peat	terrestrial	-	-	0	-3	0.23	0.23	MeijlesEtal2018,Jelgersma1961	lowest local time-depth position
Netherlands_Wadden_Sea	radiocarbon	GRN-17981	53.218	6.515	4100	80	peat, unclassified	terrestrial	-	-	1	-2.3	0.54	0.54	MeijlesEtal2018	controlled by local groundwater conditions independent of sea level
Netherlands_Wadden_Sea	radiocarbon	GRN-11969	53.303	6.975	3805	35	sandy peat	terrestrial	-	-	1	-1.87	0.35	0.35	MeijlesEtal2018,Bakker1992	controlled by local groundwater conditions independent of sea level
Netherlands_Wadden_Sea	radiocarbon	GRN-1090	53.178	7.093	3310	60	fen peat	terrestrial	-	-	0	-1.9	0.23	0.23	MeijlesEtal2018,Jelgersma1961	lowest local time-depth position
Netherlands_Wadden_Sea	radiocarbon	GRN-1089	53.178	7.093	2910	70	fen peat	terrestrial	-	-	1	-0.92	0.22	0.22	MeijlesEtal2018,Jelgersma1961	controlled by local groundwater conditions independent of sea level
Netherlands_Wadden_Sea	radiocarbon	GRN-6989	53.272	4.961	2785	55	sandy peat	terrestrial	-	-	0	-1.16	0.22	0.22	MeijlesEtal2018,DeJong1984	lowest local time-depth position
Netherlands_Wadden_Sea	radiocarbon	GRN-17891	53.209	6.889	2740	70	sandy peat	terrestrial	-	-	0	-1.3	0.54	0.54	MeijlesEtal2018	lowest local time-depth position
Netherlands_Wadden_Sea	radiocarbon	GRN-10248	53.286	4.99	2370	70	peat slightly sandy with Pragmites remains	terrestrial	-	-	0	-0.96	0.54	0.54	MeijlesEtal2018,DeJong1984	lowest local time-depth position
