Region	Dating_Method	LAB_ID	Latitude	Longitude	age	error	Material	Curve	Reservoir_age	Reservoir_error	type	RSL	RSL_2sigma_upper	RSL_2sigma_lower	Reference	notes
Rugen	radiocarbon	KIA-24218	54.48	13.53	5368	38	bone	terrestrial	-	-	1	-1.1	0.2	0.2	LampeEtal2010	
Rugen	radiocarbon	KIA-24219	54.48	13.53	5645	39	bone	terrestrial	-	-	1	-1.2	0.2	0.2	LampeEtal2010	
Rugen	radiocarbon	KIA-35279	54.54	13.11	7600	35	peat	terrestrial	-	-	0	-9.55	0.5220153254455275	0.5220153254455275	NaumannLampe2011	
Rugen	radiocarbon	KIA-35287	54.56	13.07	7220	50	root remnant. A-horizon	terrestrial	-	-	1	-9.7	0.5	0.5	NaumannLampe2011	
Rugen	radiocarbon	Hv-24831	54.31	13.71	7810	110	peat	terrestrial	-	-	0	-7.55	0.522015	0.522015	HoffmannEtal2009	2 = compaction
Rugen	radiocarbon	KIA-19370	54.33	13.72	4600	55	seed. swash mark	terrestrial	-	-	0	-1.65	0.522015	0.522015	HoffmannEtal2009	2 = compaction
Rugen	radiocarbon	KIA-19372	54.32	13.72	5690	150	seed	terrestrial	-	-	0	-0.95	0.522015	0.522015	HoffmannEtal2009	2 = compaction
Rugen	radiocarbon	KIA-19373	54.33	13.72	6390	25	charcoal from intercalated organic layer	terrestrial	-	-	0	-3.35	0.559017	0.559017	HoffmannEtal2009	2 = compaction
Rugen	radiocarbon	Hv-24833	54.31	13.7	7320	70	peat	terrestrial	-	-	0	-6.05	0.522015	0.522015	HoffmannEtal2009	2 = compaction
Rugen	radiocarbon	Hv-24829	54.31	13.7	7840	70	peat	terrestrial	-	-	0	-5.55	0.522015	0.522015	HoffmannEtal2009	2 = compaction
Rugen	radiocarbon	Hv-24830	54.31	13.71	8025	85	peat	terrestrial	-	-	0	-14.15	0.522015	0.522015	HoffmannEtal2009	2 = compaction
Rugen	radiocarbon	Hv-24834	54.29	13.71	8050	85	peat	terrestrial	-	-	0	-14.85	0.522015	0.522015	HoffmannEtal2009	2 = compaction
Rugen	radiocarbon	KIA-19371	54.31	13.7	6355	25	charcoal in peat	terrestrial	-	-	0	-2.05	0.522015	0.522015	HoffmannEtal2009	2 = compaction
Rugen	radiocarbon	Hv-24835	54.31	13.72	8070	90	peat	terrestrial	-	-	0	-6.05	0.522015	0.522015	HoffmannEtal2009	2 = compaction
