Region	Dating_Method	LAB_ID	Latitude	Longitude	age	error	Material	Curve	Reservoir_age	Reservoir_error	type	RSL	RSL_2sigma_upper	RSL_2sigma_lower	Reference	notes									
Parnu	radiocarbon	Ta-139	58.3	24.67	6870	110	wood in peat	terrestrial	-	-	1	7.18	0.7071067811865476	0.7071067811865476	KesselPunning1969,NirgiEtal2020		#REF!	1172	1419; Vaskrääma 3	Kessel & Punning 1969a (as in Nirgi et al. 2019)	Estonia; Pärnu; Vaskrääma	0	n/a	7720	220
Parnu	radiocarbon	Ta-140	58.3	24.67	7580	170	wood in peat	terrestrial	-	-	1	7.18	0.7071067811865476	0.7071067811865476	KesselPunning1969,NirgiEtal2020		#REF!	1170	1417; Vaskrääma 1	Kessel & Punning 1969a (as in Nirgi et al. 2019)	Estonia; Pärnu; Vaskrääma	0	n/a	8390	540
Parnu	radiocarbon	Ta-141	58.3	24.67	6975	110	wood in gyttja	terrestrial	-	-	-1	7.18	0.7071067811865476	0.7071067811865476	KesselPunning1969,NirgiEtal2020		#REF!	1171	1418; Vaskrääma 2	Kessel & Punning 1969a (as in Nirgi et al. 2019)	Estonia; Pärnu; Vaskrääma	0	n/a	7810	185
Parnu	radiocarbon	Ta-175	58.42	24.68	9300	75	buried peaty soil	terrestrial	-	-	1	10.06	0.5000999900019995	0.5000999900019995	KesselPunning1969a,NirgiEtal2020		#REF!	1125	1372; Pulli 5	Kessel & Punning 1969b (as in Nirgi et al. 2019)	Estonia; Pärnu; Pulli	0	n/a	10490	190
Parnu	radiocarbon	Ta-176	58.42	24.68	9575	115	silty clay from soil processes, contains small pieces of wood and Mesol. finds	terrestrial	-	-	1	9.46	0.5015974481593781	0.5015974481593781	KesselPunning1969a,NirgiEtal2020		#REF!	1124	1371; Pulli 4	Kessel & Punning 1969b (as in Nirgi et al. 2019)	Estonia; Pärnu; Pulli	0	n/a	10920	285
Parnu	radiocarbon	Ta-183	58.28	24.09	5950	60	gyttja	terrestrial	-	-	-1	8.68	0.5000999900019995	0.5000999900019995	KesselPunning1969,NirgiEtal2020		#REF!	1189	1436; Seliste	Kessel & Punning 1969a (as in Nirgi et al. 2019)	Estonia; Pärnu; Seliste	0	n/a	6780	155
Parnu	radiocarbon	Ta-1986	58.4	24.74	5790	80	nd	terrestrial	-	-	1	12.18	0.5000999900019995	0.5000999900019995	OrruEtal1992,NirgiEtal2020		#REF!	1190	1437; Kõrsa	Orru 1992 (as in Nirgi et al. 2019)	Estonia; Pärnu; Kõrsa	0	n/a	6590	185
Parnu	radiocarbon	Ta-1990	58.14	24.52	2320	100	peat bog	terrestrial	-	-	1	1.68	0.5000999900019995	0.5000999900019995	OrruEtal1992,NirgiEtal2020		#REF!	1188	1435; Tolkuse 6	Orru 1992 (as in Nirgi et al. 2019)	Estonia; Pärnu; Tolkuse	0	n/a	2360	350
Parnu	radiocarbon	Ta-245	58.42	24.68	9600	120	silty clay from soil processes, contains small pieces of wood and Mesol. finds	terrestrial	-	-	1	9.46	0.5015974481593781	0.5015974481593781	PunningEtal1971,NirgiEtal2020		#REF!	1127	1374; Pulli 7	Punning et al. 1971 (as in Nirgi et al. 2019)	Estonia; Pärnu; Pulli	0	n/a	10940	285
Parnu	radiocarbon	Ta-2547	58.38	24.61	9575	90	buried woody fen peat	terrestrial	-	-	1	5.38	0.5024937810560445	0.5024937810560445	Veski1998,NirgiEtal2020		#REF!	1115	1362; Paikuse 1	Veski 1998 (as in Nirgi et al. 2019)	Estonia; Pärnu; Paikuse	0	n/a	10930	260
Parnu	radiocarbon	Ta-2548	58.38	24.62	7030	120	buried organic matter	terrestrial	-	-	1	6.96	0.5024937810560445	0.5024937810560445	Veski1998,NirgiEtal2020		#REF!	1120	1367; Paikuse 6	Veski 1998 (as in Nirgi et al. 2019)	Estonia; Pärnu; Paikuse	0	n/a	7860	290
Parnu	radiocarbon	Ta-2736	58.37	24.59	7980	100	wood	terrestrial	-	-	1	4.83	0.5000999900019995	0.5000999900019995	VeskiEtal2005,NirgiEtal2020		#REF!	1163	1410; Sindi-Lodja 5	Veski et al. 2005 (as in Nirgi et al. 2019)	Estonia; Pärnu; Sindi-Lodja	0	n/a	8840	280
Parnu	radiocarbon	Ta-2737	58.37	24.59	7780	120	wood	terrestrial	-	-	1	3.48	0.5000999900019995	0.5000999900019995	VeskiEtal2005,NirgiEtal2020		#REF!	1161	1408; Sindi-Lodja 3	Veski et al. 2005 (as in Nirgi et al. 2019)	Estonia; Pärnu; Sindi-Lodja	0	n/a	8600	380
Parnu	radiocarbon	Ta-2769	58.37	24.6	8035	80	wood	terrestrial	-	-	1	4.18	0.5000999900019995	0.5000999900019995	KriiskaEtal2002,NirgiEtal2020		#REF!	1157	1404; Sindi-Lodja II 1	Kriiska et al. 2002 (as in Nirgi et al. 2019)	Estonia; Pärnu; Sindi-Lodja II	0	n/a	8890	245
Parnu	radiocarbon	Ta-2774	58.37	24.59	7870	80	wood	terrestrial	-	-	1	3.48	0.5000999900019995	0.5000999900019995	VeskiEtal2005,NirgiEtal2020		#REF!	1162	1409; Sindi-Lodja 4	Veski et al. 2005 (as in Nirgi et al. 2019)	Estonia; Pärnu; Sindi-Lodja	0	n/a	8710	280
Parnu	radiocarbon	Ta-2783	58.37	24.59	7630	120	peat	terrestrial	-	-	1	3.51	0.5000999900019995	0.5000999900019995	VeskiEtal2005,NirgiEtal2020		#REF!	1160	1407; Sindi-Lodja 2	Veski et al. 2005 (as in Nirgi et al. 2019)	Estonia; Pärnu; Sindi-Lodja	0	n/a	8440	260
Parnu	radiocarbon	Ta-2784	58.37	24.6	9170	200	peat	terrestrial	-	-	0	4.63	0.7071774883294858	0.7071774883294858	VeskiEtal2005,NirgiEtal2020		#REF!	1158	1405; Sindi-Lodja II 2	Veski et al. 2005 (as in Nirgi et al. 2019)	Estonia; Pärnu; Sindi-Lodja II	0	n/a	10370	700
Parnu	radiocarbon	Ta-2785	58.37	24.59	7300	150	wood	terrestrial	-	-	1	4.88	0.5000999900019995	0.5000999900019995	VeskiEtal2005,NirgiEtal2020		#REF!	1159	1406; Sindi-Lodja 1	Veski et al. 2005 (as in Nirgi et al. 2019)	Estonia; Pärnu; Sindi-Lodja	0	n/a	8130	270
Parnu	radiocarbon	Ta-2786	58.37	24.59	8210	80	wood in peat	terrestrial	-	-	1	3.43	0.5024937810560445	0.5024937810560445	VeskiEtal2005,NirgiEtal2020		#REF!	1140	1387; Sindi-Lodja 8	Veski et al. 2005 (as in Nirgi et al. 2019)	Estonia; Pärnu; Sindi-Lodja	0	n/a	9190	220
Parnu	radiocarbon	Ta-2787	58.37	24.59	8250	150	peat	terrestrial	-	-	1	3.41	0.5008991914547277	0.5008991914547277	KriiskaEtal2002,NirgiEtal2020		#REF!	1166	1413; Sindi-Lodja 9	Kriiska et al. 2002 (as in Nirgi et al. 2019)	Estonia; Pärnu; Sindi-Lodja	0	n/a	9220	315
Parnu	radiocarbon	Ta-2788	58.37	24.59	8035	80	wood	terrestrial	-	-	1	4.83	0.5000999900019995	0.5000999900019995	VeskiEtal2005,NirgiEtal2020		#REF!	1164	1411; Sindi-Lodja 6	Veski et al. 2005 (as in Nirgi et al. 2019)	Estonia; Pärnu; Sindi-Lodja	0	n/a	8890	245
Parnu	radiocarbon	Ta-2789	58.37	24.59	8190	80	wood	terrestrial	-	-	1	3.48	0.5000999900019995	0.5000999900019995	VeskiEtal2005,NirgiEtal2020		#REF!	1165	1412; Sindi-Lodja 7	Veski et al. 2005 (as in Nirgi et al. 2019)	Estonia; Pärnu; Sindi-Lodja	0	n/a	9160	245
Parnu	radiocarbon	Ta-2826	58.37	24.59	7780	100	wood	terrestrial	-	-	1	2.68	0.5000999900019995	0.5000999900019995	KriiskaLougas2009,NirgiEtal2020		#REF!	1156	1403; Sindi-Lodja I 2	Kriiska & Lõugas 2009  (as in Nirgi et al. 2019)	Estonia; Pärnu; Sindi-Lodja I	0	n/a	8580	395
Parnu	radiocarbon	Ta-2836	58.36	24.59	7175	100	sandy woody peat	terrestrial	-	-	0	-0.87	0.7071067811865476	0.7071067811865476	RosentauEtal2011,NirgiEtal2020		#REF!	1147	1394; Reiu 1	Rosentau et al. 2011 (as in Nirgi et al. 2019)	Estonia; Pärnu; Reiu	0	n/a	8000	200
Parnu	radiocarbon	Ta-2837	58.36	24.59	7570	150	sandy woody peat	terrestrial	-	-	1	-2.12	0.5	0.5	RosentauEtal2011,NirgiEtal2020		#REF!	1148	1395; Reiu 2	Rosentau et al. 2011 (as in Nirgi et al. 2019)	Estonia; Pärnu; Reiu	0	n/a	8380	320
Parnu	radiocarbon	Ta-2838	58.36	24.59	7743	150	sandy woody peat	terrestrial	-	-	1	-2.52	0.5	0.5	RosentauEtal2011,NirgiEtal2020		#REF!	1149	1396; Reiu 3	Rosentau et al. 2011 (as in Nirgi et al. 2019)	Estonia; Pärnu; Reiu	0	n/a	8570	430
Parnu	radiocarbon	Ta-2839	58.36	24.59	7560	150	wood in sandy peat	terrestrial	-	-	1	-2.72	0.5	0.5	RosentauEtal2011,NirgiEtal2020		#REF!	1150	1397; Reiu 4	Rosentau et al. 2011 (as in Nirgi et al. 2019)	Estonia; Pärnu; Reiu	0	n/a	8370	325
Parnu	radiocarbon	Ta-284	58.42	24.68	9285	120	charcoal	terrestrial	-	-	1	9.48	0.5	0.5	IlvesEtal1974,NirgiEtal2020		#REF!	1128	1375; Pulli 8	Ilves et al. 1974 (as in Nirgi et al. 2019)	Estonia; Pärnu; Pulli	0	n/a	10480	580
Parnu	radiocarbon	Ta-2840	58.36	24.59	7730	150	sandy woody peat	terrestrial	-	-	1	-2.92	0.5	0.5	RosentauEtal2011,NirgiEtal2020		#REF!	1151	1398; Reiu 5	Rosentau et al. 2011 (as in Nirgi et al. 2019)	Estonia; Pärnu; Reiu	0	n/a	8550	445
Parnu	radiocarbon	Ta-2841	58.36	24.59	7800	150	wood in sandy peat	terrestrial	-	-	1	-3.12	0.5	0.5	RosentauEtal2011,NirgiEtal2020		#REF!	1152	1399; Reiu 6	Rosentau et al. 2011 (as in Nirgi et al. 2019)	Estonia; Pärnu; Reiu	0	n/a	8640	375
Parnu	radiocarbon	Ta-2842	58.36	24.59	8320	150	sandy woody peat	terrestrial	-	-	1	-3.32	0.5	0.5	RosentauEtal2011,NirgiEtal2020		#REF!	1153	1400; Reiu 7	Rosentau et al. 2011 (as in Nirgi et al. 2019)	Estonia; Pärnu; Reiu	0	n/a	9290	295
