Region	Dating_Method	LAB_ID	Latitude	Longitude	age	error	Material	Curve	Reservoir_age	Reservoir_error	type	RSL	RSL_2sigma_upper	RSL_2sigma_lower	Reference	comment	age (From Hibbert et al 2016)	uncertainty	PRSL (m)	+2σPRSL	-2σPRSL	Hibbert source	specific location
Vanuatu	U/Th	7_22_29(b)(B)	-15.617	166.9	13886	23	Acropora sp.	-	-	-	0	-69.45	12.9	12.9	CutlerEtal2004,HibbertEtal2016		13.886	0.023	-75.9	20	5.8	70	Espiritu Santo Island
Vanuatu	U/Th	7_22_29(b)(A)	-15.617	166.9	13913	39	Acropora sp.	-	-	-	0	-69.55	12.9	12.9	CutlerEtal2004,HibbertEtal2016		13.913	0.039	-76	20	5.8	70	Espiritu Santo Island
Vanuatu	U/Th	9C_26_7_27_15(A)	-15.617	166.9	14074	23	Acropora sp.	-	-	-	0	-71.65	12.1	12.1	CutlerEtal2004,HibbertEtal2016		14.074	0.023	-77.7	19.9	4.3	70	Espiritu Santo Island
Vanuatu	U/Th	9C_26_7_27_15(B)	-15.617	166.9	14100	28	Acropora sp.	-	-	-	0	-71.9	12	12	CutlerEtal2004,HibbertEtal2016		14.1	0.028	-77.9	19.7	4.3	70	Espiritu Santo Island
Vanuatu	U/Th	9F_125	-15.617	166.9	14114	28	Acropora sp.	-	-	-	0	-73.9	12	12	CutlerEtal2004,HibbertEtal2016		14.114	0.028	-79.9	19.7	4.3	70	Espiritu Santo Island
Vanuatu	U/Th	9H_113(a)	-15.617	166.9	14241	28	Acropora sp.	-	-	-	0	-77.475	12.05	12.05	CutlerEtal2004,HibbertEtal2016		14.241	0.028	-83.5	19.8	4.3	70	Espiritu Santo Island
Vanuatu	U/Th	9E_23_45_24_25(B)	-15.617	166.9	14281	34	Acropora sp.	-	-	-	0	-75.7	12	12	CutlerEtal2004,HibbertEtal2016		14.281	0.034	-81.7	19.7	4.3	70	Espiritu Santo Island
Vanuatu	U/Th	9H_113(c)	-15.617	166.9	14306	44	Acropora sp.	-	-	-	0	-77.77499999999999	12.05	12.05	CutlerEtal2004,HibbertEtal2016		14.306	0.044	-83.8	19.8	4.3	70	Espiritu Santo Island
Vanuatu	U/Th	9H_113(b)	-15.617	166.9	14366	34	Acropora sp.	-	-	-	0	-78.1	12	12	CutlerEtal2004,HibbertEtal2016		14.366	0.034	-84.1	19.7	4.3	70	Espiritu Santo Island
Vanuatu	U/Th	9J_81	-15.617	166.9	14428	34	Acropora sp.	-	-	-	0	-78.35000000000001	12.100000000000001	12.100000000000001	CutlerEtal2004,HibbertEtal2016		14.428	0.034	-84.4	19.8	4.4	70	Espiritu Santo Island
Vanuatu	U/Th	9B_18_48_19_15(a)(B)	-15.617	166.9	14567	29	Acropora sp.	-	-	-	0	-75.95	12.100000000000001	12.100000000000001	CutlerEtal2004,HibbertEtal2016		14.567	0.029	-82	19.8	4.4	70	Espiritu Santo Island
Vanuatu	U/Th	9B_18_48_19_15(a)(A)	-15.617	166.9	14630	34	Acropora sp.	-	-	-	0	-76.25	12.100000000000001	12.100000000000001	CutlerEtal2004,HibbertEtal2016		14.63	0.034	-82.3	19.8	4.4	70	Espiritu Santo Island
Vanuatu	U/Th	9F_139	-15.617	166.9	14938	50	Acropora sp.	-	-	-	0	-79.65	12.100000000000001	12.100000000000001	CutlerEtal2004,HibbertEtal2016		14.938	0.05	-85.7	19.8	4.4	70	Espiritu Santo Island
Vanuatu	U/Th	9E_24_25_25_75	-15.617	166.9	15308	29	Acropora sp.	-	-	-	0	-82.325	12.15	12.15	CutlerEtal2004,HibbertEtal2016		15.308	0.029	-88.4	19.8	4.5	70	Espiritu Santo Island
Vanuatu	U/Th	9E_25_75_27_25(A)	-15.617	166.9	20403	31	Acropora sp.	-	-	-	0	-106.60000000000001	12.6	12.6	CutlerEtal2004,HibbertEtal2016		20.403	0.031	-112.9	20	5.2	70	Espiritu Santo Island
Vanuatu	U/Th	9E_25_75_27_25(B)	-15.617	166.9	20543	65	Acropora sp.	-	-	-	0	-107.15	12.700000000000001	12.700000000000001	CutlerEtal2004,HibbertEtal2016		20.543	0.065	-113.5	20.1	5.3	70	Espiritu Santo Island
Vanuatu	U/Th	9E_30_25_31_75	-15.617	166.9	24626	53	Acropora sp.	-	-	-	0	-130.8	13	13	CutlerEtal2004,HibbertEtal2016		24.626	0.053	-137.3	20.1	5.9	70	Espiritu Santo Island
Vanuatu	U/Th	9J_64(A)	-15.617	166.9	13996	39	Alveopora sp.	-	-	-	0	-67.9	25	25	CutlerEtal2004,HibbertEtal2016		13.996	0.039	-80.4	43.2	6.8	70	Espiritu Santo Island
Vanuatu	U/Th	9J_64(B)	-15.617	166.9	14041	23	Alveopora sp.	-	-	-	0	-68.1	25	25	CutlerEtal2004,HibbertEtal2016		14.041	0.023	-80.6	43.2	6.8	70	Espiritu Santo Island
Vanuatu	U/Th	9A_14_(D)	-15.617	166.9	12603	19	Diploastrea sp.	-	-	-	0	-64.375	7.25	7.25	CutlerEtal2004,HibbertEtal2016		12.603	0.019	-68	8	6.5	70	Espiritu Santo Island
Vanuatu	U/Th	9A_14_(B)	-15.617	166.9	12641	24	Diploastrea sp.	-	-	-	0	-64.575	7.25	7.25	CutlerEtal2004,HibbertEtal2016		12.641	0.024	-68.2	8	6.5	70	Espiritu Santo Island
Vanuatu	U/Th	9A_14_(A)	-15.617	166.9	12650	18	Diploastrea sp.	-	-	-	0	-64.575	7.25	7.25	CutlerEtal2004,HibbertEtal2016		12.65	0.018	-68.2	8	6.5	70	Espiritu Santo Island
Vanuatu	U/Th	9A_14_(C)	-15.617	166.9	12657	33	Diploastrea sp.	-	-	-	0	-64.575	7.25	7.25	CutlerEtal2004,HibbertEtal2016		12.657	0.033	-68.2	8	6.5	70	Espiritu Santo Island
Vanuatu	U/Th	9A_14_(E)	-15.617	166.9	12832	28	Diploastrea sp.	-	-	-	0	-65.35	7.3	7.3	CutlerEtal2004,HibbertEtal2016		12.832	0.028	-69	8.1	6.5	70	Espiritu Santo Island
Vanuatu	U/Th	7_15_16	-15.617	166.9	11631	27	Faviidae	-	-	-	0	-45.525	19.95	19.95	CutlerEtal2004,HibbertEtal2016		11.631	0.027	-55.5	31.7	8.2	70	Espiritu Santo Island
Vanuatu	U/Th	9F_178	-15.617	166.9	20643	37	Faviidae	-	-	-	0	-108.725	20.55	20.55	CutlerEtal2004,HibbertEtal2016		20.643	0.037	-119	32	9.1	70	Espiritu Santo Island
Vanuatu	U/Th	9H_283(A)	-15.617	166.9	21486	43	Faviidae	-	-	-	0	-117.52499999999999	20.55	20.55	CutlerEtal2004,HibbertEtal2016		21.486	0.043	-127.8	32	9.1	70	Espiritu Santo Island
Vanuatu	U/Th	9H_283(B)	-15.617	166.9	21824	43	Faviidae	-	-	-	0	-119.10000000000001	20.6	20.6	CutlerEtal2004,HibbertEtal2016		21.824	0.043	-129.4	32	9.2	70	Espiritu Santo Island
Vanuatu	U/Th	6B_b_13	-15.617	166.9	7752	16	unknown	-	-	-	-1	-18.7	1.9	1.9	CutlerEtal2004,HibbertEtal2016		7.752	0.016	can't calculate	can't calculate	can't calculate	70	Espiritu Santo Island
Vanuatu	U/Th	6B_14_5_16	-15.617	166.9	8518	26	unknown	-	-	-	-1	-25.2	2	2	CutlerEtal2004,HibbertEtal2016		8.518	0.026	can't calculate	can't calculate	can't calculate	70	Espiritu Santo Island
Vanuatu	U/Th	6A_b_15_5_17	-15.617	166.9	8946	16	unknown	-	-	-	-1	-28.2	2.1	2.1	CutlerEtal2004,HibbertEtal2016		8.946	0.016	can't calculate	can't calculate	can't calculate	70	Espiritu Santo Island
Vanuatu	U/Th	6A_a_15_5_17(B)	-15.617	166.9	9113	16	unknown	-	-	-	-1	-28.9	2.1	2.1	CutlerEtal2004,HibbertEtal2016		9.113	0.016	can't calculate	can't calculate	can't calculate	70	Espiritu Santo Island
Vanuatu	U/Th	6A_a_15_5_17(A)	-15.617	166.9	9175	12	unknown	-	-	-	-1	-29.2	2.1	2.1	CutlerEtal2004,HibbertEtal2016		9.175	0.012	can't calculate	can't calculate	can't calculate	70	Espiritu Santo Island
Vanuatu	U/Th	7_b_14_15	-15.617	166.9	10386	17	unknown	-	-	-	-1	-48.8	2.3	2.3	CutlerEtal2004,HibbertEtal2016		10.386	0.017	can't calculate	can't calculate	can't calculate	70	Espiritu Santo Island
Vanuatu	U/Th	7_a_14_15(B)	-15.617	166.9	10419	17	unknown	-	-	-	-1	-48.9	2.3	2.3	CutlerEtal2004,HibbertEtal2016		10.419	0.017	can't calculate	can't calculate	can't calculate	70	Espiritu Santo Island
Vanuatu	U/Th	7_a_14_15(A)	-15.617	166.9	10454	17	unknown	-	-	-	-1	-49.1	2.3	2.3	CutlerEtal2004,HibbertEtal2016		10.454	0.017	can't calculate	can't calculate	can't calculate	70	Espiritu Santo Island
Vanuatu	U/Th	9J_87	-15.617	166.9	14129	29	unknown	-	-	-	-1	-83	3	3	CutlerEtal2004,HibbertEtal2016		14.129	0.029	can't calculate	can't calculate	can't calculate	70	Espiritu Santo Island
Vanuatu	U/Th	9E_22_55_22_85(A)	-15.617	166.9	14890	23	unknown	-	-	-	-1	-83.5	3.1	3.1	CutlerEtal2004,HibbertEtal2016		14.89	0.023	can't calculate	can't calculate	can't calculate	70	Espiritu Santo Island
Vanuatu	U/Th	9E_22_55_22_85(B)	-15.617	166.9	14905	45	unknown	-	-	-	-1	-83.6	3.2	3.2	CutlerEtal2004,HibbertEtal2016		14.905	0.045	can't calculate	can't calculate	can't calculate	70	Espiritu Santo Island
Vanuatu	U/Th	6A_19_19_5(A)	-15.617	166.9	9068	32	Porites sp.	-	-	-	0	-14.2	35	35	CutlerEtal2004,HibbertEtal2016		9.068	0.032	-31.7	63.9	6.1	70	Espiritu Santo Island
Vanuatu	U/Th	6A_19_19_5(B)	-15.617	166.9	9115	37	Porites sp.	-	-	-	0	-14.399999999999999	35	35	CutlerEtal2004,HibbertEtal2016		9.115	0.037	-31.9	63.9	6.1	70	Espiritu Santo Island
Vanuatu	U/Th	6A_19_19_5(C)	-15.617	166.9	9194	12	Porites sp.	-	-	-	0	-14.799999999999997	35	35	CutlerEtal2004,HibbertEtal2016		9.194	0.012	-32.3	63.9	6.1	70	Espiritu Santo Island
Vanuatu	U/Th	9D_12_28_13_75	-15.617	166.9	11467	17	Porites sp.	-	-	-	0	-41.1	35.2	35.2	CutlerEtal2004,HibbertEtal2016		11.467	0.017	-58.7	64	6.4	70	Espiritu Santo Island
Vanuatu	U/Th	9H_92	-15.617	166.9	12225	38	Porites sp.	-	-	-	0	-51.550000000000004	35.3	35.3	CutlerEtal2004,HibbertEtal2016		12.225	0.038	-69.2	64.1	6.5	70	Espiritu Santo Island
Vanuatu	U/Th	9B_12_5_13_12(c)	-15.617	166.9	12277	22	Porites sp.	-	-	-	0	-47.875	35.25	35.25	CutlerEtal2004,HibbertEtal2016		12.277	0.022	-65.5	64	6.5	70	Espiritu Santo Island
Vanuatu	U/Th	9F_103	-15.617	166.9	12814	23	Porites sp.	-	-	-	0	-52.22500000000001	35.349999999999994	35.349999999999994	CutlerEtal2004,HibbertEtal2016		12.814	0.023	-69.9	64.1	6.6	70	Espiritu Santo Island
Vanuatu	U/Th	9L_89	-15.617	166.9	13360	81	Porites sp.	-	-	-	0	-58.8	35.4	35.4	CutlerEtal2004,HibbertEtal2016		13.36	0.081	-76.5	64.1	6.7	70	Espiritu Santo Island
Vanuatu	U/Th	9J_155	-15.617	166.9	19704	36	Porites sp.	-	-	-	0	-99.625	35.949999999999996	35.949999999999996	CutlerEtal2004,HibbertEtal2016		19.704	0.036	-117.6	64.3	7.6	70	Espiritu Santo Island
Vanuatu	U/Th	10_42	-15.61	167.02	6728	21	Porites sp.	-	-	-	0	-7.275000000000002	35.05	35.05	CabiochEtal2003,HibbertEtal2016		6.728	0.021	-24.8	63.9	6.2	76	Urelapa Island
Vanuatu	U/Th	10_48	-15.61	167.02	6889	16	Porites sp.	-	-	-	0	-8.95	35.1	35.1	CabiochEtal2003,HibbertEtal2016		6.889	0.016	-26.5	64	6.2	76	Urelapa Island
