BETA-65705A	45.81	-64.27	2179	172	0	-0.7	1.6	1.6
BETA-65706A	45.81	-64.27	2233	164	0	-1.3	1.6	1.6
BETA-65707A	45.81	-64.27	1415	110	0	1.6	1.6	1.6
BETA-65708A	45.81	-64.27	935	132	0	1.3	1.7	1.7
GSC-1032	45.82	-64.25	913	153	0	-1.1	1.7	1.7
GSC-1073	45.82	-64.25	2914	153	0	-3	1.4	1.4
GSC-1075	45.82	-64.25	3136	195	0	-4.2	1.4	1.4
GSC-1076	45.82	-64.25	1725	150	0	-0.9	1.7	1.7
GSC-1079	45.82	-64.25	1851	150	0	-1.4	1.6	1.6
GSC-975	45.85	-64.3	3858	369	1	-1.8	0.4	0.4
Que-903	45.86	-64.29	4159	253	0	-7.9	1.3	1.3
GX-5831	45.86	-64.29	1001	269	0	0.4	1.7	1.7
GX-5832	45.86	-64.29	1584	323	0	0.6	1.6	1.6
GX-5833	45.86	-64.29	698	198	0	0	1.7	1.7
GX-5834	45.86	-64.29	228	217	0	-1	1.7	1.7
GX-5835	45.86	-64.29	949	229	0	-0.9	1.7	1.7
GX-5836	45.86	-64.29	915	250	0	-1.3	1.7	1.7
GX-5838	45.86	-64.29	2786	383	0	-3.7	1.4	1.4
GX-5839	45.86	-64.29	2747	363	0	-4.5	1.4	1.4
GX-5840	45.86	-64.29	3308	278	0	-5	1.4	1.4
GX-8141	45.86	-64.29	1253	268	0	-1.7	1.8	1.8
Gx-8142	45.86	-64.29	2267	403	0	-3	1.6	1.6
GX-8143	45.86	-64.29	2741	367	0	-4.1	1.5	1.5
Gx-8145	45.86	-64.29	4241	478	0	-9	1.2	1.2
GSC-930	45.86	-64.29	4541	251	1	-3.9	0.4	0.4
BETA-65696	45.87	-64.29	2562	179	0	-2.2	1.4	1.4
BETA-65695	45.87	-64.29	2121	184	0	-2.8	1.6	1.6
BETA-74550	45.87	-64.29	1153	134	0	-1	1.7	1.7
BETA-74551	45.87	-64.29	2215	130	0	-2.1	1.6	1.6
S-3238	45.87	-64.32	3719	266	1	-1.7	0.4	0.4
Beta-12859	45.35	-64.7	14407	612	-1	3	2	2
S3241	45.87	-64.32	3549	264	1	-0.8	0.4	0.4
